"Book Id","Title","Author","Author l-f","Additional Authors","ISBN","ISBN13","My Rating","Average Rating","Publisher","Binding","Number of Pages","Year Published","Original Publication Year","Date Read","Date Added","Bookshelves","Bookshelves with positions","Exclusive Shelf","My Review","Spoiler","Private Notes","Read Count","Owned Copies"
"","Foundation (Foundation, #1)","Isaac Asimov","Asimov, Isaac","","","","","","","",,,1951,,,,"","read","","","",,1
"","Foundation and Empire (Foundation, #2)","Isaac Asimov","Asimov, Isaac","","","","","","","",,,1952,,,,"","read","","","",,1
"","Second Foundation (Foundation, #3)","Isaac Asimov","Asimov, Isaac","","","","","","","",,,1953,,,,"","read","","","",,1
"","I, Robot","Isaac Asimov","Asimov, Isaac","","","","","","","",,,1950,,,,"","read","","","",,1
"","The Gods Themselves","Isaac Asimov","Asimov, Isaac","","","","","","","",,,1972,,,,"","read","","","",,1
"","The Caves of Steel (Robot, #1)","Isaac Asimov","Asimov, Isaac","","","","","","","",,,1954,,,,"","read","","","",,1
"","The Naked Sun (Robot, #2)","Isaac Asimov","Asimov, Isaac","","","","","","","",,,1957,,,,"","read","","","",,1
"","2001: A Space Odyssey (Space Odyssey, #1)","Arthur C. Clarke","Clarke, Arthur C.","","","","","","","",,,1968,,,,"","read","","","",,1
"","Childhood's End","Arthur C. Clarke","Clarke, Arthur C.","","","","","","","",,,1953,,,,"","read","","","",,1
"","Rendezvous with Rama (Rama, #1)","Arthur C. Clarke","Clarke, Arthur C.","","","","","","","",,,1973,,,,"","read","","","",,1
"","The City and the Stars","Arthur C. Clarke","Clarke, Arthur C.","","","","","","","",,,1956,,,,"","read","","","",,1
"","Stranger in a Strange Land","Robert A. Heinlein","Heinlein, Robert A.","","","","","","","",,,1961,,,,"","read","","","",,1
"","The Moon Is a Harsh Mistress","Robert A. Heinlein","Heinlein, Robert A.","","","","","","","",,,1966,,,,"","read","","","",,1
"","Starship Troopers","Robert A. Heinlein","Heinlein, Robert A.","","","","","","","",,,1959,,,,"","read","","","",,1
"","The Left Hand of Darkness (Hainish Cycle, #4)","Ursula K. Le Guin","Le Guin, Ursula K.","","","","","","","",,,1969,,,,"","read","","","",,1
"","The Dispossessed (Hainish Cycle, #5)","Ursula K. Le Guin","Le Guin, Ursula K.","","","","","","","",,,1974,,,,"","read","","","",,1
"","The Lathe of Heaven","Ursula K. Le Guin","Le Guin, Ursula K.","","","","","","","",,,1971,,,,"","read","","","",,1
"","Do Androids Dream of Electric Sheep?","Philip K. Dick","Dick, Philip K.","","","","","","","",,,1968,,,,"","read","","","",,1
"","The Man in the High Castle","Philip K. Dick","Dick, Philip K.","","","","","","","",,,1962,,,,"","read","","","",,1
"","Ubik","Philip K. Dick","Dick, Philip K.","","","","","","","",,,1969,,,,"","read","","","",,1
"","A Scanner Darkly","Philip K. Dick","Dick, Philip K.","","","","","","","",,,1977,,,,"","read","","","",,1
"","Dune (Dune, #1)","Frank Herbert","Herbert, Frank","","","","","","","",,,1965,,,,"","read","","","",,1
"","Dune Messiah (Dune, #2)","Frank Herbert","Herbert, Frank","","","","","","","",,,1969,,,,"","read","","","",,1
"","Children of Dune (Dune, #3)","Frank Herbert","Herbert, Frank","","","","","","","",,,1976,,,,"","read","","","",,1
"","God Emperor of Dune (Dune, #4)","Frank Herbert","Herbert, Frank","","","","","","","",,,1981,,,,"","read","","","",,1
"","Neuromancer (Sprawl, #1)","William Gibson","Gibson, William","","","","","","","",,,1984,,,,"","read","","","",,1
"","Count Zero (Sprawl, #2)","William Gibson","Gibson, William","","","","","","","",,,1986,,,,"","read","","","",,1
"","Mona Lisa Overdrive (Sprawl, #3)","William Gibson","Gibson, William","","","","","","","",,,1988,,,,"","read","","","",,1
"","Snow Crash","Neal Stephenson","Stephenson, Neal","","","","","","","",,,1992,,,,"","read","","","",,1
"","Cryptonomicon","Neal Stephenson","Stephenson, Neal","","","","","","","",,,1999,,,,"","read","","","",,1
"","Anathem","Neal Stephenson","Stephenson, Neal","","","","","","","",,,2008,,,,"","read","","","",,1
"","Seveneves","Neal Stephenson","Stephenson, Neal","","","","","","","",,,2015,,,,"","read","","","",,1
"","Consider Phlebas (Culture, #1)","Iain M. Banks","Banks, Iain M.","","","","","","","",,,1987,,,,"","read","","","",,1
"","The Player of Games (Culture, #2)","Iain M. Banks","Banks, Iain M.","","","","","","","",,,1988,,,,"","read","","","",,1
"","Use of Weapons (Culture, #3)","Iain M. Banks","Banks, Iain M.","","","","","","","",,,1990,,,,"","read","","","",,1
"","Excession (Culture, #5)","Iain M. Banks","Banks, Iain M.","","","","","","","",,,1996,,,,"","read","","","",,1
"","Revelation Space (Revelation Space, #1)","Alastair Reynolds","Reynolds, Alastair","","","","","","","",,,2000,,,,"","read","","","",,1
"","Chasm City (Revelation Space, #2)","Alastair Reynolds","Reynolds, Alastair","","","","","","","",,,2001,,,,"","read","","","",,1
"","House of Suns","Alastair Reynolds","Reynolds, Alastair","","","","","","","",,,2008,,,,"","read","","","",,1
"","A Fire Upon the Deep (Zones of Thought, #1)","Vernor Vinge","Vinge, Vernor","","","","","","","",,,1992,,,,"","read","","","",,1
"","A Deepness in the Sky (Zones of Thought, #2)","Vernor Vinge","Vinge, Vernor","","","","","","","",,,1999,,,,"","read","","","",,1
"","The Three-Body Problem (Remembrance of Earth's Past, #1)","Cixin Liu","Liu, Cixin","Ken Liu","","","","","","",,,2008,,,,"","read","","","",,1
"","The Dark Forest (Remembrance of Earth's Past, #2)","Cixin Liu","Liu, Cixin","Joel Martinsen","","","","","","",,,2008,,,,"","read","","","",,1
"","Death's End (Remembrance of Earth's Past, #3)","Cixin Liu","Liu, Cixin","Ken Liu","","","","","","",,,2010,,,,"","read","","","",,1
"","The Long Way to a Small, Angry Planet (Wayfarers, #1)","Becky Chambers","Chambers, Becky","","","","","","","",,,2014,,,,"","read","","","",,1
"","A Closed and Common Orbit (Wayfarers, #2)","Becky Chambers","Chambers, Becky","","","","","","","",,,2016,,,,"","read","","","",,1
"","Record of a Spaceborn Few (Wayfarers, #3)","Becky Chambers","Chambers, Becky","","","","","","","",,,2018,,,,"","read","","","",,1
"","The Galaxy, and the Ground Within (Wayfarers, #4)","Becky Chambers","Chambers, Becky","","","","","","","",,,2021,,,,"","read","","","",,1
"","Ancillary Justice (Imperial Radch, #1)","Ann Leckie","Leckie, Ann","","","","","","","",,,2013,,,,"","read","","","",,1
"","Ancillary Sword (Imperial Radch, #2)","Ann Leckie","Leckie, Ann","","","","","","","",,,2014,,,,"","read","","","",,1
"","Ancillary Mercy (Imperial Radch, #3)","Ann Leckie","Leckie, Ann","","","","","","","",,,2015,,,,"","read","","","",,1
"","Children of Time (Children of Time, #1)","Adrian Tchaikovsky","Tchaikovsky, Adrian","","","","","","","",,,2015,,,,"","read","","","",,1
"","Children of Ruin (Children of Time, #2)","Adrian Tchaikovsky","Tchaikovsky, Adrian","","","","","","","",,,2019,,,,"","read","","","",,1
"","Children of Memory (Children of Time, #3)","Adrian Tchaikovsky","Tchaikovsky, Adrian","","","","","","","",,,2022,,,,"","read","","","",,1
"","Kindred","Octavia E. Butler","Butler, Octavia E.","","","","","","","",,,1979,,,,"","read","","","",,1
"","Parable of the Sower (Earthseed, #1)","Octavia E. Butler","Butler, Octavia E.","","","","","","","",,,1993,,,,"","read","","","",,1
"","Parable of the Talents (Earthseed, #2)","Octavia E. Butler","Butler, Octavia E.","","","","","","","",,,1998,,,,"","read","","","",,1
"","Dawn (Lilith's Brood, #1)","Octavia E. Butler","Butler, Octavia E.","","","","","","","",,,1987,,,,"","read","","","",,1
"","Leviathan Wakes (The Expanse, #1)","James S.A. Corey","Corey, James S.A.","","","","","","","",,,2011,,,,"","read","","","",,1
"","Caliban's War (The Expanse, #2)","James S.A. Corey","Corey, James S.A.","","","","","","","",,,2012,,,,"","read","","","",,1
"","Abaddon's Gate (The Expanse, #3)","James S.A. Corey","Corey, James S.A.","","","","","","","",,,2013,,,,"","read","","","",,1
"","Diaspora","Greg Egan","Egan, Greg","","","","","","","",,,1997,,,,"","read","","","",,1
"","Permutation City","Greg Egan","Egan, Greg","","","","","","","",,,1994,,,,"","read","","","",,1
"","Blindsight (Firefall, #1)","Peter Watts","Watts, Peter","","","","","","","",,,2006,,,,"","read","","","",,1
"","The Martian","Andy Weir","Weir, Andy","","","","","","","",,,2011,,,,"","read","","","",,1
"","Project Hail Mary","Andy Weir","Weir, Andy","","","","","","","",,,2021,,,,"","read","","","",,1
"","Stories of Your Life and Others","Ted Chiang","Chiang, Ted","","","","","","","",,,2002,,,,"","read","","","",,1
"","Exhalation","Ted Chiang","Chiang, Ted","","","","","","","",,,2019,,,,"","read","","","",,1
"","The Handmaid's Tale (The Handmaid's Tale, #1)","Margaret Atwood","Atwood, Margaret","","","","","","","",,,1985,,,,"","read","","","",,1
"","Oryx and Crake (MaddAddam, #1)","Margaret Atwood","Atwood, Margaret","","","","","","","",,,2003,,,,"","read","","","",,1
"","The Sparrow (The Sparrow, #1)","Mary Doria Russell","Russell, Mary Doria","","","","","","","",,,1996,,,,"","read","","","",,1
"","Doomsday Book (Oxford Time Travel, #1)","Connie Willis","Willis, Connie","","","","","","","",,,1992,,,,"","read","","","",,1
"","To Say Nothing of the Dog (Oxford Time Travel, #2)","Connie Willis","Willis, Connie","","","","","","","",,,1997,,,,"","read","","","",,1
"","Red Mars (Mars Trilogy, #1)","Kim Stanley Robinson","Robinson, Kim Stanley","","","","","","","",,,1992,,,,"","read","","","",,1
"","Green Mars (Mars Trilogy, #2)","Kim Stanley Robinson","Robinson, Kim Stanley","","","","","","","",,,1993,,,,"","read","","","",,1
"","Blue Mars (Mars Trilogy, #3)","Kim Stanley Robinson","Robinson, Kim Stanley","","","","","","","",,,1996,,,,"","read","","","",,1
"","The Ministry for the Future","Kim Stanley Robinson","Robinson, Kim Stanley","","","","","","","",,,2020,,,,"","read","","","",,1
"","Spin (Spin, #1)","Robert Charles Wilson","Wilson, Robert Charles","","","","","","","",,,2005,,,,"","read","","","",,1
"","Old Man's War (Old Man's War, #1)","John Scalzi","Scalzi, John","","","","","","","",,,2005,,,,"","read","","","",,1
"","Hyperion (Hyperion Cantos, #1)","Dan Simmons","Simmons, Dan","","","","","","","",,,1989,,,,"","read","","","",,1
"","The Fall of Hyperion (Hyperion Cantos, #2)","Dan Simmons","Simmons, Dan","","","","","","","",,,1990,,,,"","read","","","",,1
"","Solaris","Stanislaw Lem","Lem, Stanislaw","","","","","","","",,,1961,,,,"","read","","","",,1
"","Flowers for Algernon","Daniel Keyes","Keyes, Daniel","","","","","","","",,,1966,,,,"","read","","","",,1
"","The Forever War (The Forever War, #1)","Joe Haldeman","Haldeman, Joe","","","","","","","",,,1974,,,,"","read","","","",,1
"","A Canticle for Leibowitz (St. Leibowitz, #1)","Walter M. Miller Jr.","Miller, Walter M. Jr.","","","","","","","",,,1959,,,,"","read","","","",,1
"","The Stars My Destination","Alfred Bester","Bester, Alfred","","","","","","","",,,1956,,,,"","read","","","",,1
"","Slaughterhouse-Five","Kurt Vonnegut","Vonnegut, Kurt","","","","","","","",,,1969,,,,"","read","","","",,1
"","A Memory Called Empire (Teixcalaan, #1)","Arkady Martine","Martine, Arkady","","","","","","","",,,2019,,,,"","read","","","",,1
"","A Desolation Called Peace (Teixcalaan, #2)","Arkady Martine","Martine, Arkady","","","","","","","",,,2021,,,,"","read","","","",,1
"","All Systems Red (The Murderbot Diaries, #1)","Martha Wells","Wells, Martha","","","","","","","",,,2017,,,,"","read","","","",,1
"","Artificial Condition (The Murderbot Diaries, #2)","Martha Wells","Wells, Martha","","","","","","","",,,2018,,,,"","read","","","",,1
"","Rogue Protocol (The Murderbot Diaries, #3)","Martha Wells","Wells, Martha","","","","","","","",,,2018,,,,"","read","","","",,1
"","Exit Strategy (The Murderbot Diaries, #4)","Martha Wells","Wells, Martha","","","","","","","",,,2018,,,,"","read","","","",,1
"","Network Effect (The Murderbot Diaries, #5)","Martha Wells","Wells, Martha","","","","","","","",,,2020,,,,"","read","","","",,1
"","This Is How You Lose the Time War","Amal El-Mohtar","El-Mohtar, Amal","Max Gladstone","","","","","","",,,2019,,,,"","read","","","",,1
"","The Fifth Season (The Broken Earth, #1)","N.K. Jemisin","Jemisin, N.K.","","","","","","","",,,2015,,,,"","read","","","",,1
"","The Obelisk Gate (The Broken Earth, #2)","N.K. Jemisin","Jemisin, N.K.","","","","","","","",,,2016,,,,"","read","","","",,1
"","The Stone Sky (The Broken Earth, #3)","N.K. Jemisin","Jemisin, N.K.","","","","","","","",,,2017,,,,"","read","","","",,1
"","Station Eleven","Emily St. John Mandel","Mandel, Emily St. John","","","","","","","",,,2014,,,,"","read","","","",,1
"","Sea of Tranquility","Emily St. John Mandel","Mandel, Emily St. John","","","","","","","",,,2022,,,,"","read","","","",,1
"","Wool (Silo, #1)","Hugh Howey","Howey, Hugh","","","","","","","",,,2011,,,,"","read","","","",,1
"","Roadside Picnic","Arkady Strugatsky","Strugatsky, Arkady","Boris Strugatsky","","","","","","",,,1972,,,,"","read","","","",,1
